code_iata,code_oaci,name,iso_country,latitude_deg,longitude_deg
PTM,SVPT,Palmarito Airport,VE,7.575479,-70.174435
LRV,SVRS,Los Roques Airport,VE,11.946935,-66.668333
SVS,SVS,Stevens Village Airport,US,66.016727,-149.056835
SVZ,SVSA,San Antonio Del Tachira Airport,VE,7.84083,-72.439697
SBB,SVSB,Santa Bárbara de Barinas Airport,VE,7.803514,-71.165718
SNV,SVSE,Santa Elena de Uairen Airport,VE,4.554699,-61.145234
STD,SVSO,Mayor Buenaventura Vivas International Airport,VE,7.56538,-72.035103
SNF,SVSP,Sub Teniente Nestor Arias Airport,VE,10.2787,-68.755203
SFD,SVSR,San Fernando de Apure Las Flecheras National Airport,VE,7.88332,-67.444
SOM,SVST,San Tomé Airport,VE,8.9451465606689,-64.151084899902
STB,SVSZ,Miguel Urdaneta Fernández Airport,VE,8.97455,-71.943253
TUV,SVTC,Tucupita Airport,VE,9.088994,-62.094173
TMO,SVTM,Tumeremo Airport,VE,7.24938,-61.52893
URM,SVUM,Uriman Airport,VE,5.358118,-62.671625
WOK,SVUQ,Uon Quen Airport,VE,4.984002,-61.730102
VLN,SVVA,Arturo Michelena International Airport,VE,10.14973258972168,-67.92839813232422
VIG,SVVG,Juan Pablo Pérez Alfonso Airport,VE,8.624139,-71.672668
VLV,SVVL,Dr. Antonio Nicolás Briceño Airport,VE,9.340478,-70.584061
VDP,SVVP,Valle de La Pascua Airport,VE,9.22202777863,-65.9935836792
BAZ,SWBC,Barcelos Airport,BR,-0.981191,-62.918603
JSB,SWBE,Walfrido Salmito de Almeida Airport,BR,-4.042841,-40.893813
LCB,SWBG,André Antônio Maggi Airport,BR,-15.1934,-59.3848
RBB,SWBR,Borba Airport,BR,-4.40634,-59.602402
CAF,SWCA,Carauari Airport,BR,-4.871473,-66.897552
CQS,SWCQ,Costa Marques Airport,BR,-12.4211,-64.251602
DMT,SWDM,Diamantino Airport,BR,-14.37689971923828,-56.40039825439453
DNO,SWDN,Dianópolis Airport,BR,-11.5953998566,-46.846698761
ERN,SWEI,Eirunepé Airport,BR,-6.63953,-69.879799
CQA,SWEK,Canarana Airport,BR,-13.574444,-52.270557
SXO,SWFX,São Félix do Araguaia Airport,BR,-11.6324,-50.689602
GRP,SWGI,Gurupi Airport,BR,-11.7396,-49.132198
AUX,SWGN,Araguaína Airport,BR,-7.22787,-48.240501
GGB,SWHP,Frederico Carlos Müller Airport,BR,-14.019959,-52.152003
HUW,SWHT,Humaitá Airport,BR,-7.532120227810001,-63.072101593
IPG,SWII,Ipiranga Airport,BR,-2.940141,-69.694264
IDO,SWIY,Santa Izabel do Morro Airport,BR,-11.57229995727539,-50.66619873046875
JIA,SWJN,Juína Airport,BR,-11.419444,-58.701668
JTI,SWJW,Jataí Airport,BR,-17.8299007416,-51.7729988098
CCX,SWKC,Cáceres Airport,BR,-16.0436,-57.629902
CIZ,SWKO,Coari Airport,BR,-4.13406,-63.132599
NSR,SWKQ,Serra da Capivara Airport,BR,-9.083392,-42.644656
TLZ,SWKT,Catalão Airport,BR,-18.216801,-47.8997
LBR,SWLB,Lábrea Airport,BR,-7.27897,-64.769501
RVD,SWLC,General Leite de Castro Airport,BR,-17.834723,-50.956112
MBZ,SWMW,Maués Airport,BR,-3.37217,-57.7248
